iter	Passed	Remaining
474	720	796
475	722	795
476	723	793
477	725	792
478	726	790
479	728	789
480	729	787
481	731	786
482	732	784
483	734	782
484	735	781
485	737	779
486	738	778
487	740	776
488	741	775
489	743	773
490	744	772
491	746	770
492	748	769
493	749	767
494	751	766
495	752	764
496	754	763
497	755	761
498	757	760
499	758	758
500	760	757
501	761	755
502	763	754
503	764	752
504	766	750
505	767	749
506	768	747
507	770	746
508	771	744
509	773	743
510	774	741
511	776	740
512	778	738
513	779	737
514	780	735
515	782	733
516	784	732
517	785	730
518	786	729
519	788	727
520	789	726
521	791	724
522	792	723
523	794	721
524	795	719
525	797	718
526	798	716
527	800	715
528	801	713
529	803	712
530	804	710
531	806	709
532	807	707
533	808	705
534	810	704
535	811	702
536	813	701
537	814	699
538	816	698
539	817	696
540	819	695
541	820	693
542	822	692
543	823	690
544	825	689
545	826	687
546	828	686
547	829	684
548	831	683
549	833	681
550	834	680
551	836	678
552	837	677
553	839	675
554	840	674
555	842	672
556	843	671
557	845	669
558	846	668
559	848	666
560	849	665
561	851	663
562	853	662
563	854	660
564	855	659
565	857	657
566	859	655
567	860	654
568	862	653
569	863	651
570	865	649
571	866	648
572	868	646
573	869	645
574	871	643
575	872	642
576	874	640
577	875	639
578	876	637
579	878	636
580	879	634
581	881	633
582	882	631
583	884	630
584	885	628
585	887	626
586	888	625
587	890	623
588	891	622
589	893	620
590	894	619
591	896	617
592	897	616
593	899	614
594	901	613
595	902	611
596	904	610
597	905	608
598	906	607
599	908	605
600	909	603
601	911	602
602	912	600
603	914	599
604	915	597
605	917	596
606	918	594
607	920	593
608	921	591
609	923	590
610	924	588
611	926	587
612	927	585
613	929	584
614	930	582
615	932	581
616	933	579
617	935	578
618	936	576
619	938	575
620	939	573
621	941	571
622	942	570
623	944	568
624	945	567
625	947	565
626	949	564
627	950	563
628	952	561
629	954	560
630	955	558
631	957	557
632	958	555
633	959	554
634	961	552
635	962	551
636	964	549
637	965	548
638	967	546
639	968	545
640	970	543
641	971	541
642	973	540
643	974	538
644	976	537
645	977	535
646	979	534
647	980	532
648	982	531
649	983	529
650	985	528
651	986	526
652	988	525
653	989	523
654	991	522
655	993	520
656	994	519
657	996	517
658	997	516
659	999	514
660	1000	513
661	1002	511
662	1003	510
663	1005	508
664	1006	507
665	1008	505
666	1009	504
667	1011	502
668	1012	501
669	1014	499
670	1015	497
671	1017	496
672	1018	494
673	1020	493
674	1021	491
675	1023	490
676	1024	488
677	1026	487
678	1027	485
679	1029	484
680	1030	482
681	1032	481
682	1033	479
683	1035	478
684	1036	476
685	1038	475
686	1039	473
687	1041	472
688	1042	470
689	1044	469
690	1045	467
691	1047	466
692	1048	464
693	1050	463
694	1051	461
695	1053	460
696	1054	458
697	1056	457
698	1057	455
699	1059	454
700	1060	452
701	1062	451
702	1063	449
703	1065	447
704	1066	446
705	1068	444
706	1070	443
707	1072	442
708	1073	440
709	1075	439
710	1076	437
711	1078	436
712	1079	434
713	1081	433
714	1082	431
715	1084	430
716	1085	428
717	1087	427
718	1088	425
719	1090	424
720	1092	422
721	1093	421
722	1095	419
723	1096	418
724	1098	416
725	1099	414
726	1101	413
727	1102	411
728	1104	410
729	1105	408
730	1107	407
731	1108	405
732	1110	404
733	1111	402
734	1113	401
735	1114	399
736	1116	398
737	1117	396
738	1119	395
739	1120	393
740	1121	392
741	1123	390
742	1124	388
743	1126	387
744	1127	385
745	1128	384
746	1130	382
747	1131	381
748	1133	379
749	1134	378
750	1136	376
751	1137	375
752	1139	373
753	1140	372
754	1142	370
755	1143	369
756	1145	367
757	1146	366
758	1148	364
759	1149	363
760	1151	361
761	1152	360
762	1154	358
763	1155	356
764	1157	355
765	1158	353
766	1160	352
767	1161	350
768	1163	349
769	1164	347
770	1166	346
771	1167	344
772	1169	343
773	1170	341
774	1171	340
775	1173	338
776	1175	337
777	1176	335
778	1178	334
779	1179	332
780	1181	331
781	1182	329
782	1184	328
783	1186	326
784	1187	325
785	1189	323
786	1190	322
787	1192	320
788	1193	319
789	1195	317
790	1196	316
791	1198	314
792	1200	313
793	1201	311
794	1203	310
795	1204	308
796	1206	307
797	1207	305
798	1209	304
799	1210	302
800	1212	301
801	1213	299
802	1215	298
803	1216	296
804	1218	295
805	1219	293
806	1221	292
807	1222	290
808	1224	289
809	1225	287
810	1227	285
811	1228	284
812	1230	282
813	1231	281
814	1233	279
815	1234	278
816	1236	276
817	1237	275
818	1239	273
819	1240	272
820	1242	270
821	1243	269
822	1245	267
823	1246	266
824	1248	264
825	1249	263
826	1251	261
827	1252	260
828	1253	258
829	1254	257
830	1256	255
831	1257	254
832	1259	252
833	1260	250
834	1262	249
835	1263	247
836	1265	246
837	1266	244
838	1268	243
839	1269	241
840	1271	240
841	1273	238
842	1274	237
843	1276	235
844	1277	234
845	1279	232
846	1280	231
847	1282	229
848	1283	228
849	1285	226
850	1286	225
851	1287	223
852	1289	222
853	1290	220
854	1292	219
855	1293	217
856	1295	216
857	1296	214
858	1298	213
859	1300	211
860	1301	210
861	1303	208
862	1304	207
863	1306	205
864	1307	204
865	1309	202
866	1310	201
867	1311	199
868	1313	197
869	1314	196
870	1316	194
871	1317	193
872	1319	191
873	1321	190
874	1322	188
875	1324	187
876	1325	185
877	1326	184
878	1328	182
879	1329	181
880	1331	179
881	1332	178
882	1334	176
883	1335	175
884	1337	173
885	1338	172
886	1340	170
887	1341	169
888	1343	167
889	1345	166
890	1346	164
891	1348	163
892	1349	161
893	1351	160
894	1352	158
895	1353	157
896	1355	155
897	1356	154
898	1358	152
899	1359	151
900	1361	149
901	1362	148
902	1364	146
903	1365	145
904	1367	143
905	1368	142
906	1370	140
907	1371	138
908	1373	137
909	1374	135
910	1376	134
911	1377	132
912	1379	131
913	1380	129
914	1382	128
915	1383	126
916	1385	125
917	1386	123
918	1388	122
919	1389	120
920	1391	119
921	1392	117
922	1394	116
923	1395	114
924	1397	113
925	1398	111
926	1400	110
927	1401	108
928	1403	107
929	1404	105
930	1406	104
931	1407	102
932	1409	101
933	1410	99
934	1412	98
935	1413	96
936	1415	95
937	1416	93
938	1418	92
939	1419	90
940	1421	89
941	1422	87
942	1424	86
943	1425	84
944	1427	83
945	1428	81
946	1430	80
947	1431	78
948	1433	77
949	1434	75
950	1436	74
951	1437	72
952	1439	70
953	1440	69
954	1442	67
955	1444	66
956	1445	64
957	1447	63
958	1448	61
959	1450	60
960	1451	58
961	1452	57
962	1454	55
963	1455	54
964	1457	52
965	1458	51
966	1460	49
967	1461	48
968	1463	46
969	1464	45
970	1466	43
971	1467	42
972	1469	40
973	1470	39
974	1472	37
975	1473	36
976	1475	34
977	1476	33
978	1478	31
979	1479	30
980	1481	28
981	1482	27
982	1484	25
983	1485	24
984	1487	22
985	1488	21
986	1490	19
987	1491	18
988	1493	16
989	1494	15
990	1496	13
991	1497	12
992	1499	10
993	1500	9
994	1502	7
995	1503	6
996	1505	4
997	1506	3
998	1508	1
999	1509	0
