iter	Logloss
0	0.6784643258
1	0.6629752779
2	0.649505137
3	0.6383437093
4	0.6274785876
5	0.6164843151
6	0.6054822354
7	0.5946432383
8	0.5849667915
9	0.5756159734
10	0.5671919033
11	0.5597268882
12	0.5507623062
13	0.5426251249
14	0.5344970456
15	0.5279110234
16	0.5212377415
17	0.5158481851
18	0.5083374923
19	0.5025449925
20	0.496428493
21	0.490283576
22	0.4861705872
23	0.4817964653
24	0.478063321
25	0.4723190342
26	0.4686685468
27	0.4646768935
28	0.4620449495
29	0.4579959574
30	0.4548741825
31	0.4522220918
32	0.4487340806
33	0.4456081101
34	0.4418314666
35	0.4393516464
36	0.4376637107
37	0.4347005882
38	0.4322246523
39	0.4294328542
40	0.4270829879
41	0.4245090226
42	0.4226576485
43	0.4209364962
44	0.4184913108
45	0.416054082
46	0.4142039555
47	0.4124527228
48	0.4107058079
49	0.4085937007
50	0.40683588
51	0.4043177333
52	0.403221163
53	0.4018115676
54	0.400392739
55	0.398341243
56	0.3969965561
57	0.3958657437
58	0.3944999115
59	0.3933437165
60	0.3923448332
61	0.3908150599
62	0.3895228802
63	0.3886285145
64	0.3877361627
65	0.3865570163
66	0.3855270806
67	0.3841143619
68	0.3833959568
69	0.3824610577
70	0.3814391366
71	0.380493133
72	0.3791789143
73	0.3782938453
74	0.3769372556
75	0.3761688475
76	0.3751480393
77	0.374433394
78	0.3735979924
79	0.3726321444
80	0.3719766247
81	0.3709920205
82	0.3702143906
83	0.3689731213
84	0.3681127311
85	0.3672608783
86	0.3664201841
87	0.365862893
88	0.3652909731
89	0.3644419319
90	0.3636784768
91	0.3629355569
92	0.3620344465
93	0.3612136715
94	0.360677312
95	0.3596991384
96	0.3590944121
97	0.3581530179
98	0.3573328321
99	0.356822531
100	0.3561335846
101	0.3555638718
102	0.3550017236
103	0.3544708985
104	0.3540639987
105	0.3533333208
106	0.3526410946
107	0.3520585619
108	0.3516874938
109	0.3511863038
110	0.3505908634
111	0.350018607
112	0.3491186734
113	0.34850267
114	0.3478583701
115	0.3472318963
116	0.3466478553
117	0.3457440083
118	0.3451827192
119	0.3449233646
120	0.3442435613
121	0.3437547841
122	0.3432732814
123	0.3430028538
124	0.3424736048
125	0.3420823047
126	0.3417453607
127	0.3412954819
128	0.3407691151
129	0.3403868284
130	0.3400962136
131	0.3395642729
132	0.3392182569
133	0.3388380298
134	0.3383635911
135	0.3377596469
136	0.3372373894
137	0.3365517778
138	0.3363381583
139	0.336135253
140	0.3356066978
141	0.3352686356
142	0.3349262048
143	0.334363927
144	0.3338444596
145	0.3334898071
146	0.3332289545
147	0.3326978769
148	0.3322452699
149	0.3318760684
150	0.3315534721
151	0.3308658554
152	0.3303084284
153	0.3297772881
154	0.3295786446
155	0.3293073006
156	0.3289694092
157	0.3286710375
158	0.3283626635
159	0.3278575042
160	0.3275070491
161	0.3271569811
162	0.3267530221
163	0.3263699849
164	0.3258769228
165	0.325524876
166	0.3252477283
167	0.3248601169
168	0.3247250644
169	0.3245341946
170	0.3240798241
171	0.3237171063
172	0.3234955437
173	0.3231455967
174	0.3227950237
175	0.3224210766
176	0.3220728771
177	0.3216196493
178	0.321237085
179	0.320934376
180	0.3206670164
181	0.3204117763
182	0.3200252947
183	0.319528157
184	0.3191676453
185	0.3189035224
186	0.3186380458
187	0.3183032406
188	0.3179767804
189	0.3175570032
190	0.3172598103
191	0.3170038572
192	0.3166541811
193	0.3163442015
194	0.3160870613
195	0.3157039363
196	0.3153660619
197	0.3151591764
198	0.3150176284
199	0.314861714
200	0.3146735271
201	0.3143243971
202	0.3141556907
203	0.3139934066
204	0.3136252975
205	0.3133371548
206	0.3131622803
207	0.3128093775
208	0.3125732086
209	0.3122908192
210	0.3119165588
211	0.3116051924
212	0.3113264339
213	0.3110964863
214	0.310668073
215	0.3104436805
216	0.3102409597
217	0.3099974367
218	0.3097667504
219	0.309485779
220	0.3092656993
221	0.3087711995
222	0.3085446837
223	0.3083067596
224	0.3081398308
225	0.3078951178
226	0.3076594303
227	0.3074239116
228	0.3070351926
229	0.3068651749
230	0.3065792287
231	0.3063677372
232	0.3061326185
233	0.3058526733
234	0.3056990485
235	0.3054136411
236	0.3052236234
237	0.3049933326
238	0.3047478667
239	0.3044073159
240	0.3042004293
241	0.3039326194
242	0.3037228862
243	0.3035335167
244	0.3034237499
245	0.3030953735
246	0.3029091753
247	0.3027408481
248	0.3026350466
249	0.3022871222
250	0.3020024169
251	0.3018448595
252	0.3017038681
253	0.301548285
254	0.3012726551
255	0.3010001444
256	0.3008082201
257	0.3005435023
258	0.3002287095
259	0.2999990806
260	0.2998339887
261	0.2995614796
262	0.2993723561
263	0.2992003037
264	0.2989493986
265	0.2986188877
266	0.2983313788
267	0.2981693116
268	0.298033405
269	0.2977934716
270	0.2975180144
271	0.2973530112
272	0.2971393227
273	0.2969112406
274	0.2967965732
275	0.296546439
276	0.2961771249
277	0.2957659259
278	0.2955383739
279	0.2954269911
280	0.2950505984
281	0.2947471554
282	0.294402425
283	0.2941447502
284	0.2937995129
285	0.2935414356
286	0.293321271
287	0.2930352848
288	0.2928031018
289	0.292682704
290	0.29236214
291	0.2921166876
292	0.2918651339
293	0.2917304602
294	0.2915587875
295	0.2913434976
296	0.2910778528
297	0.2908817303
298	0.290507582
299	0.2903423423
300	0.2901859634
301	0.2900163334
302	0.2898071959
303	0.289588612
304	0.2893807158
305	0.289134482
306	0.2887042974
307	0.2885145272
308	0.2882488639
309	0.2879406202
310	0.2877562217
311	0.287608705
312	0.2874000762
313	0.2871244778
314	0.2868732126
315	0.286619439
316	0.2863616807
317	0.2861840554
318	0.2860141845
319	0.2858230262
320	0.285527082
321	0.2853303023
322	0.2851115675
323	0.2849003871
324	0.2847461724
325	0.2844341169
326	0.2843093571
327	0.2839566585
328	0.283610232
329	0.2833693656
330	0.2831294443
331	0.2829638041
332	0.2827543505
333	0.2825221131
334	0.2823314836
335	0.2821532631
336	0.2819318928
337	0.2817938295
338	0.281569375
339	0.2812462588
340	0.2810177942
341	0.2808466912
342	0.2807055822
